InfantID,SegmentID,FileName,code1,code2,seqcode,Event1T,Event1N,Event1C,Event1X,Event1R,Event2T,Event2N,Event2C,Event2X,Event2R
WW04,1,WW04_segment1_full.txt,X,N,XN,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,N,N,NN,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,N,P,NP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,X,PX,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,X,T,XT,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,T,T,TT,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,T,C,TC,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,C,T,CT,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,T,T,TT,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,T,T,TT,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,T,T,TT,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,T,P,TP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,C,PC,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,C,P,CP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,P,PP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,U,PU,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,U,U,UU,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,U,P,UP,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,P,C,PC,,,,,,,,,,
WW04,1,WW04_segment1_full.txt,C,P,CP,,,,,,,,,,
